name,description,size,website,email,city,state,link
Exyn Technologies,"Provider of autonomous aerial robots and SLAM-based mapping payloads for GPS-denied and hazardous environments (mining, construction, underground mapping).",51-200 employees (company listings / press),https://www.exyn.com,info@exyn.com,Philadelphia,Pennsylvania,https://www.exyn.com
Near Earth Autonomy,Builds autonomous flight/navigation systems and drone inspection solutions for GPS-denied or constrained environments.,51-200 employees (SBIR / company presskit),https://www.nearearth.aero,PR@NearEarth.aero,Pittsburgh,Pennsylvania,https://www.nearearth.aero
6 River Systems (6RS),Offers collaborative fulfillment AMRs (Chuck) and cloud orchestration software for warehouse order-fulfillment operations.,201-500,https://6river.com,info@6river.com,Waltham,MA,https://6river.com
RightHand Robotics,Developer of autonomous piece-picking systems (RightPick) used in warehouses for order fulfillment and robotics automation.,51-200,https://righthandrobotics.com,info@righthandrobotics.com,Somerville / Charlestown (Boston area),MA,https://righthandrobotics.com
Ghost Robotics,"Developer of legged unmanned ground vehicles (quadrupedal UGVs) for defense, security, and commercial inspection applications.",60+ employees (company statements),https://www.ghostrobotics.io/,[email protected],Philadelphia,PA,https://www.ghostrobotics.io/
Apptronik,Human-centered robotics company building humanoid and versatile mobile robotic systems (Apollo) for industrial and service applications.,~150 employees,https://apptronik.com/,apptronik@launchsquad.com,Austin,TX,https://apptronik.com/
Perrone Robotics,Provider of turnkey autonomous vehicle retrofit kits (TONY) and geo-fenced autonomous shuttle solutions for goods and passenger movement.,,https://www.perronerobotics.com/,npilipowskyj@perronerobotics.com,Crozet,VA,https://www.perronerobotics.com/
Relay Robotics,"Provider of autonomous service and delivery robots for hospitality, healthcare, and commercial real estate environments.",51-200 employees,https://rs.linkedin.com/company/relayrobotics,,Campbell,CA,https://rs.linkedin.com/company/relayrobotics
SWEET ROBO,Designs autonomous robotic vending machines and retail automation systems for food and experiential retail.,51-200 employees,https://www.linkedin.com/company/sweet-robo,,Brooklyn,NY,https://www.linkedin.com/company/sweet-robo
"Apptronik, Inc.","Austin-based humanoid robotics company developing Apollo, an AI-powered humanoid robot for warehouses, manufacturing and commercial applications.",,https://apptronik.com,,Austin,TX,https://apptronik.com
Venti Technologies,Developer of autonomous logistics vehicles and autonomy software for industrial and warehouse deployments.,,,,Cambridge,MA,https://www.indeed.com/q-venti-technologies-jobs.html
Nimble,Robotics and AI company focused on autonomous logistics solutions and mobile manipulators (referenced in recruiting/job listings).,,,,,,https://www.indeed.com/q-nimble-solution-coding-jobs.html
May Mobility,"Developer of autonomous transit vehicles and autonomy systems for shared, low-speed urban shuttle services.",,,,Ann Arbor,MI,https://www.indeed.com/q-mathematical-optimization-phd-l-united-states-of-america%2C-remote-jobs.html
Zoox,Autonomous vehicle company building purpose-built AVs for passenger mobility and deployment operations.,,,,,,https://www.indeed.com/q-vfx-executive-jobs.html
Tennibot,"Developer of an autonomous tennis ball machine called 'The Partner', an autonomous sports robot (article datelined Auburn, Alabama).",,,,Auburn,AL,
Tombot,Designs realistic robotic companion animals for health and senior-care applications.,,,,,,
Glidance,Developer of a physical guidance robot intended to assist visually impaired individuals regain independence.,,,,,,
Boston Dynamics,"Designs and manufactures highly mobile autonomous robots (Spot, Stretch) for inspection, sensing, and warehouse/fulfillment applications.",~300 employees,https://www.bostondynamics.com,,Waltham,Massachusetts,https://bostondynamics.com/
Aethon (ST Engineering Aethon),"Manufacturer of TUG® autonomous mobile robots for intralogistics in hospitals, hospitality, and commercial environments, with fleet management and support.",unknown,https://aethon.com,,Pittsburgh,Pennsylvania,https://aethon.com
IAM Robotics,"Builds autonomous mobile robots and systems for warehouse automation, focusing on picking and material handling solutions.",,,,,,
Carbon Robotics,"Developer of the LaserWeeder — an autonomous, tractor-towed AI-powered weeding system using computer vision and high-power lasers for chemical-free weed control.",51-200 (est.),https://carbonrobotics.com,media@carbonrobotics.com,Seattle,WA,https://carbonrobotics.com
"RE2 Robotics (re2, Inc.)","Pittsburgh-based developer of mobile manipulation systems, perception and autonomy integrations for unmanned ground vehicles in military and industrial applications.",,http://www.resquared.com,,Pittsburgh,PA,http://www.resquared.com
Endeavor Robotics,"Manufacturer of tactical unmanned ground robots (PackBot, Centaur) for defense, public safety and industrial customers; formerly iRobot Defense.",,http://www.endeavorrobotics.com,,Bedford,MA,http://www.endeavorrobotics.com
Skydio,US drone manufacturer specializing in autonomous aerial vehicles with advanced onboard computer vision and obstacle avoidance for commercial and defense applications.,,https://www.skydio.com,,,,https://www.skydio.com
FarmWise Labs,Develops autonomous mechanical weeding robots (Titan) and offers weeding-as-a-service for vegetable growers using computer vision to remove weeds without herbicides.,51-200 (est.),https://farmwiselabs.com,,Salinas,CA,https://farmwiselabs.com
Iron Ox,"Builds autonomous greenhouse and robotic farming systems for planting, harvesting, and logistics in indoor and hybrid farm facilities.",51-200 (est.),https://ironox.com,press@ironox.com,San Carlos,CA,https://ironox.com
Agtonomy,Provides hybrid-autonomy and tele‑operation platform (TeleFarmer) for specialty-crop and turf machines; enables remote operation and fleet orchestration with OEM partnerships.,50-100 (est.),https://agtonomy.com,brooke.brown@agtonomy.com,South San Francisco,CA,https://agtonomy.com
Aethon,"Manufacturer of the TUG autonomous mobile robot for hospitals and hospitality, used for material transport, delivery and towing tasks.",51-200,https://aethon.com,info@aethon.com,Pittsburgh,PA,https://aethon.com
Diligent Robotics,"Developer of Moxi, an autonomous mobile‑manipulation robot that assists hospital staff with routine delivery and fetch tasks.",101-250,https://diligentrobots.com,info@diligentrobots.com,Austin,TX,https://diligentrobots.com
Bear Robotics,"Produces AI-powered delivery and serving robots (Servi, Penny) for restaurants, hospitality, retail, and healthcare support tasks.",201-500,https://bearrobotics.ai,support@bearrobotics.ai,Redwood City,CA,https://bearrobotics.ai
Tompkins Robotics,Provides autonomous mobile robot solutions and goods‑to‑person systems focused on warehouse automation and fulfillment operations.,51-200,https://tompkinsrobotics.com,,Orlando,FL,https://tompkinsrobotics.com
"AMS Inc. (Advanced Mechatronics Solutions, Inc.)","Factory automation supplier offering robots, cobots, and autonomous mobile robots for intralogistics and manufacturing applications.",51-200,https://www.ams-fa.com,,San Diego,CA,https://www.ams-fa.com
Persona AI Inc.,Builds industrial-grade humanoid robots for shipyards and heavy-industry applications.,,https://personainc.ai/,,Houston,TX,https://personainc.ai/
The Bot Company,Startup developing home/at-home robots; co-founded by Kyle Vogt and others.,,,,,,https://www.reuters.com/technology/former-cruise-ceo-vogts-robotics-startup-valued-2-billion-new-funding-sources-2025-03-21/
